,,,,,,,
Date,Works,Column3,Column4,Column5,Column6,Column7,Column8
8/7/2025,Informatica Server login (dev) & invertory file creation (sftp all integrations added in file in dev),Scans contacting persons,,,,,Monitoring
9/7/2025,Informatica Server login (dev) & invertory file creation (mwid path),,,,,,Monitoring
10/7/2025,Doc edit prakash inventory sheets,,,,,,Monitoring
11/7/2025,Disk space ticket,,,,,,Monitoring
12/7/2025,,,,,,,
13/7/2025,,,,,,,
14/7/2025,disk space ticket,,,,,,Monitoring
15/7/2025,5062 jenkins dast scan One profile,Avetta interface tool bd scan try,,informatica kt,,spoc,Monitoring
16/7/2025,naresh server version - CSG Tech DEbt Discovery questionnaire ,,,,,,Monitoring
17/7/2025,,,,informatica kt,,,Monitoring
18/7/2025,,,,informatica kt Reviewing docs,,,Monitoring
19/7/2025,,,,,,,Monitoring
20/7/2025,,,,,,,
21/7/2025,,,,,,,
22/7/2025,One touch dast scan,,,,KT Tomcat with naresh,SPOC,Monitoring
23/7/2025,,leave google io,,,,,
24/7/2025,,,,,,,Monitoring
25/7/2025,,,,,,,Monitoring
26/7/2025,,,,,,,Monitoring
27/7/2025,,,,,,,
28/7/2025,,,,,,,
29/7/2025,,,,,,,
30/7/2025,,,,,,,
31/7/2025,,,,,,,
1/8/2025,,,,,,,
2/8/2025,,,,,,,
3/8/2025,,,,,,,
4/8/2025,Verizon dinner,,,,,,
5/8/2025,,,,KT INFORMATICA CDI CAI jobs running status,Tomcat kt,,Monitoring
6/8/2025,,,,,,,Monitoring
7/8/2025,,,,,,,Monitoring
8/8/2025,,,,,,,Monitoring
9/8/2025,,,,,,,Monitoring
10/8/2025,,,,,,,
11/8/2025,,,,,,,
12/8/2025,,,,,,,Monitoring
13/8/2025,,,,,,,Monitoring
14/8/2025,,,,,,,Monitoring
15/8/2025,,,,,,,Monitoring
16/8/2025,,,,,,,Monitoring
17/8/2025,,,,,,,
18/8/2025,,,,,,,
19/8/2025,,,,,,,Monitoring
,,,,,,,
